episode,timestep,reward
1666,2374400,290.1652
1669,2377600,164.6005
1672,2380800,152.5559
1675,2384000,155.3037
1677,2387200,288.8273
1681,2390400,97.0419
1683,2393600,291.3863
1687,2396800,190.268
1690,2400000,164.3178
1692,2403200,293.2746
1694,2406400,288.0194
1696,2409600,292.6639
1698,2412800,290.3278
1701,2416000,155.426
1703,2419200,293.9523
1705,2422400,292.2222
1708,2425600,293.12
1710,2428800,293.2651
1712,2432000,291.5009
1715,2435200,163.6139
1717,2438400,292.3752
1719,2441600,294.0845
1722,2444800,292.0025
1724,2448000,291.7795
1727,2451200,158.7254
1729,2454400,237.8032
1731,2457600,292.1757
1733,2460800,291.2443
1735,2464000,290.617
1737,2467200,290.8084
1739,2470400,290.8228
1741,2473600,290.3459
1744,2476800,289.0072
1746,2480000,290.6653
1748,2483200,291.1114
1751,2486400,163.6109
1753,2489600,289.4186
1756,2492800,154.0946
1758,2496000,290.9817
1760,2499200,290.3808
1762,2502400,290.6854
1764,2505600,280.6381
1767,2508800,289.9524
1771,2512000,99.0905
1773,2515200,292.7381
1775,2518400,289.6922
1777,2521600,293.4885
1780,2524800,162.26
1782,2528000,291.5741
1784,2531200,289.9444
1786,2534400,292.4553
1788,2537600,283.8345
1790,2540800,292.2896
1793,2544000,292.2968
1795,2547200,288.2327
1797,2550400,289.4858
1799,2553600,292.7401
1801,2556800,289.397
1803,2560000,292.0211
1805,2563200,293.1712
1808,2566400,293.0893
1810,2569600,290.71
1812,2572800,289.8287
1814,2576000,292.1415
1816,2579200,288.3
1819,2582400,179.1942
1821,2585600,290.285
1824,2588800,160.8773
1826,2592000,291.4335
1828,2595200,287.0446
1830,2598400,291.0201
1833,2601600,291.9256
1835,2604800,289.9533
1837,2608000,290.581
1839,2611200,291.4857
1841,2614400,288.8228
1843,2617600,290.7075
1845,2620800,291.7802
1847,2624000,289.1555
1850,2627200,291.0379
1852,2630400,289.6047
1854,2633600,192.851
1856,2636800,291.2092
1859,2640000,169.7596
1861,2643200,288.3565
1863,2646400,292.1815
1865,2649600,291.3667
1869,2652800,90.3693
1871,2656000,286.7971
1874,2659200,289.7196
1876,2662400,288.5224
1878,2665600,288.4563
1880,2668800,290.0365
1882,2672000,287.8763
1884,2675200,290.28
1886,2678400,289.634
1888,2681600,218.7258
1891,2684800,156.5227
1895,2688000,195.5766
1897,2691200,288.1582
1899,2694400,288.8788
1901,2697600,290.3333
1903,2700800,287.7614
1905,2704000,291.0129
1907,2707200,289.1102
1910,2710400,160.5625
1912,2713600,288.746
1915,2716800,150.8955
1918,2720000,162.949
1921,2723200,292.6721
1923,2726400,285.3457
1925,2729600,285.3476
1927,2732800,291.3796
1929,2736000,287.3057
1931,2739200,289.5823
1933,2742400,289.0987
1935,2745600,291.9145
1937,2748800,290.9052
1939,2752000,286.2314
1942,2755200,162.4956
1944,2758400,289.8411
1947,2761600,161.1785
1949,2764800,290.8187
1952,2768000,289.0403
1955,2771200,158.0477
1957,2774400,290.257
1960,2777600,160.6585
1962,2780800,286.5963
1964,2784000,285.1773
1966,2787200,286.1038
1968,2790400,288.087
1970,2793600,290.7322
1972,2796800,284.2209
1975,2800000,154.9782
1977,2803200,286.0631
1979,2806400,275.9055
1981,2809600,287.1472
1983,2812800,287.0344
1986,2816000,288.9717
1988,2819200,290.4576
1990,2822400,285.7877
1992,2825600,289.0455
1994,2828800,287.2359
1996,2832000,289.5058
1998,2835200,285.3915
2000,2838400,288.678
2002,2841600,284.85
2004,2844800,284.6004
2006,2848000,285.5833
2008,2851200,273.1997
2011,2854400,156.3284
2013,2857600,285.2195
2016,2860800,288.2154
2019,2864000,159.6296
2021,2867200,290.1062
2023,2870400,288.8904
2025,2873600,287.6959
2027,2876800,289.3698
2030,2880000,160.2229
2032,2883200,288.919
2034,2886400,287.6394
2036,2889600,283.418
2038,2892800,288.3389
2041,2896000,153.5853
2043,2899200,289.7143
2046,2902400,287.8595
2048,2905600,287.1097
2050,2908800,149.8375
2053,2912000,186.921
2055,2915200,278.6069
2057,2918400,279.3022
2059,2921600,288.3213
2061,2924800,288.3798
2063,2928000,288.3545
2065,2931200,225.5361
2067,2934400,286.2872
2069,2937600,288.6242
2072,2940800,289.5758
2074,2944000,288.7275
2076,2947200,281.412
2079,2950400,151.4315
2082,2953600,155.7128
2084,2956800,289.8451
2086,2960000,287.2807
2088,2963200,282.791
2090,2966400,287.8998
2092,2969600,287.3501
2094,2972800,286.528
2096,2976000,287.3829
2099,2979200,161.1625
2101,2982400,288.4662
2103,2985600,291.0872
2105,2988800,286.5075
2108,2992000,288.196
2110,2995200,285.6837
2112,2998400,274.1792
